,사업장,연도,광역지역,종사자규모,에너지원,에너지구분,표준산업코드,표준산업코드명,소비(배출)량
209,C761AE51A73D32C5654B8F6AD0542C90D13770AB,2015,제주,5인 ~ 9인,전력,전력,10129,기타 육류 가공 및 저장처리업,-
210,ABB75F6E05066C99528B1C09FE5B816DA3C744E5,2015,제주,10인 ~ 19인,전력,전력,22223,플라스틱 창호 제조업,-
211,18C5A38E9184C6172040038ABD9B9D4FB2FB7D51,2015,제주,5인 미만,경유,경유,10620,전분제품 및 당류 제조업,-
212,20768DA56682F2A3CF1CC210DDFA5B1DF6AE29B7,2015,제주,10인 ~ 19인,경유,경유,28122,배전반 및 전기자동제어반 제조업,-
213,1ADCB9DB2F484879B97853CFE3530C7FC35F4332,2015,제주,10인 ~ 19인,전력,전력,25112,구조용 금속판제품 및 금속공작물 제조업,-
214,8D460B0967DFC2E4D160CC3A9BE91D9334C11573,2015,제주,20인 ~ 49인,전력,전력,10129,기타 육류 가공 및 저장처리업,-
215,7C1628C54664819F3112A0FAC158CA32071EA327,2015,제주,5인 미만,전력,전력,18111,경 인쇄업,-
216,4050BB3B677DBA777A0F42BEA07FE2F83FE04548,2015,제주,5인 ~ 9인,전력,전력,33910,간판 및 광고물 제조업,-
217,85CD9D7472F4AE554A96E30DCB32DC2E290AC872,2015,제주,5인 미만,경유,경유,23919,기타 석제품 제조업,-
218,2FAF4B0988B4C22DBCC925FA2223A0B7EA38F320,2015,제주,5인 ~ 9인,전력,전력,33910,간판 및 광고물 제조업,-
219,85301E6E423CF70708B660829E323D1728E483C3,2015,제주,5인 미만,전력,전력,16101,일반 제재업,-
220,3A38779E91C29BE6CD933E99F424513BB64F958E,2015,제주,20인 ~ 49인,도시가스(LPG),도시가스(LPG),22232,포장용 플라스틱 성형용기 제조업,-
221,61E4C7480C44F30F728E00EB6E923A06B175C6E6,2015,제주,5인 ~ 9인,경유,경유,29210,농업 및 임업용 기계 제조업,-
222,6B85E9E1365FCB1811DD9B064B69E6ACB86EBFF3,2015,제주,10인 ~ 19인,전력,전력,23991,아스콘 제조업,-
223,95DA7B99D9C07C59D2CBD63A805FD70F70E2D445,2015,제주,5인 미만,전력,전력,27192,정형외과용 및 신체보정용 기기 제조업,-
224,2673CC453F63B7141C572A7E49E78C193E5A0E3D,2015,제주,5인 ~ 9인,경유,경유,32021,주방용 및 음식점용 목재가구 제조업,-
225,2C3E2B671B2FF0C9A64A45E6F941C14FAE503ADF,2015,제주,10인 ~ 19인,경유,경유,10212,수산동물 건조 및 염장품 제조업,-
226,B794F770F8895DA0B86903843775F22F5A81DCB8,2015,제주,5인 ~ 9인,등유(구:실내등유),등유(구:실내등유),28122,배전반 및 전기자동제어반 제조업,-
227,70DC9E9B17FAB8A621201B184703EEC6D8C54247,2015,제주,5인 ~ 9인,전력,전력,07122,건설용 쇄석 생산업,-
228,879C76041A5E4C69DF92D74D83E37AA1560E65EA,2015,제주,10인 ~ 19인,전력,전력,23322,레미콘 제조업,-
